dx,train,val,test,global,max_dev_pp
BCC,0.48156,0.48064,0.48064,0.4813,0.06569
NV,0.14217,0.14286,0.14286,0.14237,0.04907
BKL,0.10369,0.10414,0.10414,0.10382,0.03221
SCCKA,0.09059,0.08945,0.08945,0.09027,0.08146
MEL,0.08552,0.08678,0.08678,0.08588,0.09045
AKIEC,0.05799,0.05741,0.05741,0.05782,0.04145
DF,0.00989,0.01068,0.00935,0.00992,0.07572
INF,0.00962,0.00935,0.00935,0.00954,0.01962
VASC,0.00882,0.00935,0.00935,0.00897,0.03763
BEN_OTH,0.00855,0.00801,0.00801,0.0084,0.03863
MAL_OTH,0.0016,0.00134,0.00267,0.00172,0.09527
_n_lesions,3742.0,749.0,749.0,5240.0,
